Day,Month,Year,o3_egnatia,o3_egnatia_yest,o3_eptapyrgiou,o3_lagkada,no2_egnatia,no2_egnatia_yest,temperature_egnatia,humidity_egnatia,WINDS_kord,WINDD_kord,Target
2557,1,1,2007,40.0,29.0,34.0,32.0,98.0,99.0,7.9,60.0,0.79,162.81,34.0
2558,2,1,2007,34.0,40.0,32.0,28.0,111.0,98.0,10.8,63.0,2.38,233.58,19.0
2559,3,1,2007,19.0,34.0,25.0,29.0,90.0,111.0,9.4,56.0,1.47,142.53,20.0
2560,4,1,2007,20.0,19.0,25.0,22.0,97.0,90.0,7.8,43.0,0.86,204.78,20.0
2561,5,1,2007,20.0,20.0,21.0,22.0,99.0,97.0,6.6,56.0,0.77,203.56,19.0
2562,6,1,2007,19.0,20.0,25.0,25.0,92.0,99.0,9.6,49.0,0.78,210.86,23.0
2563,7,1,2007,23.0,19.0,24.0,21.0,104.0,92.0,10.1,51.0,0.55,170.38,25.0
2564,8,1,2007,25.0,23.0,26.0,25.0,117.0,104.0,10.0,61.0,0.6,157.12,32.0
2565,9,1,2007,32.0,25.0,29.0,24.0,120.0,117.0,10.1,69.0,0.48,165.66,42.0
2566,10,1,2007,42.0,32.0,37.0,33.0,132.0,120.0,10.2,69.0,0.47,117.17,42.0
2567,11,1,2007,42.0,42.0,40.0,37.0,128.0,132.0,10.5,68.0,1.39,175.38,31.0
2568,12,1,2007,31.0,42.0,31.0,29.0,113.0,128.0,11.2,60.0,2.38,209.45,21.0
2569,13,1,2007,21.0,31.0,24.0,28.0,93.0,113.0,11.3,35.0,0.55,176.74,32.0
2570,14,1,2007,32.0,21.0,22.0,23.0,105.0,93.0,11.3,50.0,1.17,92.67,24.0
2571,15,1,2007,24.0,32.0,24.0,20.0,102.0,105.0,13.1,48.0,0.55,174.76,23.0
2572,16,1,2007,23.0,24.0,26.0,24.0,123.0,102.0,10.5,51.0,0.54,158.45,29.0
2573,17,1,2007,29.0,23.0,32.0,28.0,124.0,123.0,9.6,56.0,0.53,121.43,31.0
2574,18,1,2007,31.0,29.0,32.0,32.0,128.0,124.0,11.1,51.0,0.53,109.14,32.0
2575,19,1,2007,32.0,31.0,24.0,27.0,135.0,128.0,12.9,59.0,2.81,272.63,23.0
2576,20,1,2007,23.0,32.0,27.0,36.0,91.0,135.0,16.1,30.0,0.59,192.72,25.0
2577,21,1,2007,25.0,23.0,22.0,21.0,103.0,91.0,13.7,56.0,0.97,140.16,25.0
2578,22,1,2007,25.0,25.0,26.0,23.0,105.0,103.0,12.1,75.0,0.59,203.75,27.0
2579,23,1,2007,27.0,25.0,32.0,17.0,101.0,105.0,13.1,76.0,1.98,139.8,21.0
2580,24,1,2007,21.0,27.0,32.0,22.0,81.0,101.0,16.8,48.0,1.63,166.85,18.0
2581,25,1,2007,18.0,21.0,24.0,20.0,99.0,81.0,16.5,42.0,0.99,116.5,20.0
2582,26,1,2007,20.0,18.0,19.0,12.0,96.0,99.0,13.9,68.0,0.83,213.7,20.0
2583,27,1,2007,20.0,20.0,24.0,19.0,96.0,96.0,12.2,64.0,4.03,330.17,22.0
2584,28,1,2007,22.0,20.0,27.0,38.0,86.0,96.0,6.3,26.0,0.77,172.48,19.0
2585,29,1,2007,19.0,22.0,20.0,15.0,114.0,86.0,7.5,37.0,2.4,274.27,20.0
2586,30,1,2007,20.0,19.0,21.0,27.0,106.0,114.0,10.9,32.0,1.16,209.22,19.0
2588,1,2,2007,30.0,19.0,19.0,24.0,119.0,107.0,11.1,49.0,2.75,326.73,26.0
2589,2,2,2007,26.0,30.0,22.0,37.0,99.0,119.0,10.5,40.0,1.85,245.97,28.0
2590,3,2,2007,28.0,26.0,24.0,40.0,101.0,99.0,9.0,41.0,3.02,333.6,24.0
2591,4,2,2007,24.0,28.0,21.0,41.0,85.0,101.0,8.2,44.0,1.93,240.94,23.0
2592,5,2,2007,23.0,24.0,20.0,32.0,115.0,85.0,7.8,41.0,0.92,131.4,24.0
2593,6,2,2007,24.0,23.0,35.0,24.0,104.0,115.0,8.2,46.0,0.59,182.18,32.0
2594,7,2,2007,32.0,24.0,33.0,29.0,123.0,104.0,7.9,52.0,0.48,242.98,36.0
2595,8,2,2007,36.0,32.0,33.0,31.0,123.0,123.0,10.3,56.0,0.61,165.84,34.0
2596,9,2,2007,34.0,36.0,30.0,28.0,119.0,123.0,12.3,59.0,0.55,181.08,31.0
2597,10,2,2007,31.0,34.0,24.0,20.0,94.0,119.0,12.6,59.0,0.87,94.5,26.0
2598,11,2,2007,26.0,31.0,36.0,18.0,95.0,94.0,14.0,54.0,1.02,148.08,16.0
2599,12,2,2007,16.0,26.0,33.0,15.0,97.0,95.0,13.7,60.0,0.95,141.63,36.0
2600,13,2,2007,36.0,16.0,30.0,28.0,94.0,97.0,13.1,72.0,3.06,277.37,22.0
2601,14,2,2007,22.0,36.0,24.0,20.0,85.0,94.0,12.0,47.0,1.5,240.38,27.0
2602,15,2,2007,27.0,22.0,39.0,23.0,90.0,85.0,12.9,44.0,0.75,87.27,21.0
2603,16,2,2007,21.0,27.0,24.0,10.0,92.0,90.0,11.8,66.0,1.03,113.76,29.0
2604,17,2,2007,29.0,21.0,48.0,28.0,84.0,92.0,11.6,56.0,1.05,139.53,22.0
2605,18,2,2007,22.0,29.0,32.0,19.0,73.0,84.0,9.2,58.0,0.63,143.89,22.0
2606,19,2,2007,22.0,22.0,25.0,13.0,70.0,73.0,9.7,67.0,0.67,117.27,20.0
2607,20,2,2007,20.0,22.0,19.0,10.0,78.0,70.0,11.1,76.0,0.73,176.75,28.0
2608,21,2,2007,28.0,20.0,29.0,16.0,105.0,78.0,11.5,73.0,0.86,132.71,34.0
2609,22,2,2007,34.0,28.0,45.0,21.0,107.0,105.0,12.2,69.0,0.66,203.95,31.0
2610,23,2,2007,31.0,34.0,35.0,17.0,99.0,107.0,12.8,69.0,2.1,83.18,39.0
2611,24,2,2007,39.0,31.0,61.0,36.0,94.0,99.0,7.8,54.0,1.38,104.79,34.0
2612,25,2,2007,34.0,39.0,57.0,37.0,95.0,94.0,6.6,51.0,0.94,89.99,28.0
2613,26,2,2007,28.0,34.0,40.0,22.0,92.0,95.0,8.7,56.0,1.45,72.4,24.0
2614,27,2,2007,24.0,28.0,36.0,21.0,99.0,92.0,8.5,79.0,2.03,251.39,31.0
2616,1,3,2007,22.0,31.0,33.0,20.0,103.0,94.0,13.1,60.0,0.83,150.33,26.0
2617,2,3,2007,26.0,22.0,36.0,22.0,111.0,103.0,14.4,61.0,1.29,197.07,33.0
2618,3,3,2007,33.0,26.0,55.0,36.0,105.0,111.0,16.8,42.0,1.73,249.37,32.0
2619,4,3,2007,32.0,33.0,56.0,41.0,97.0,105.0,16.3,41.0,1.16,147.73,34.0
2620,5,3,2007,34.0,32.0,55.0,39.0,93.0,97.0,13.8,38.0,1.24,148.55,32.0
2621,6,3,2007,32.0,34.0,48.0,38.0,88.0,93.0,12.7,62.0,1.09,123.59,35.0
2622,7,3,2007,35.0,32.0,42.0,35.0,87.0,88.0,12.4,70.0,1.01,127.71,38.0
2623,8,3,2007,38.0,35.0,47.0,36.0,92.0,87.0,12.7,66.0,1.15,138.41,35.0
2624,9,3,2007,35.0,38.0,48.0,39.0,97.0,92.0,12.6,65.0,1.19,114.57,41.0
2625,10,3,2007,41.0,35.0,58.0,51.0,83.0,97.0,11.9,58.0,0.91,106.36,34.0
2626,11,3,2007,34.0,41.0,49.0,40.0,82.0,83.0,10.9,68.0,1.18,163.68,33.0
2627,12,3,2007,33.0,34.0,51.0,38.0,112.0,82.0,13.2,48.0,1.0,138.04,35.0
2628,13,3,2007,35.0,33.0,53.0,32.0,103.0,112.0,13.0,59.0,1.24,189.28,31.0
2629,14,3,2007,31.0,35.0,51.0,39.0,114.0,103.0,13.5,40.0,1.05,144.7,39.0
2630,15,3,2007,39.0,31.0,53.0,33.0,116.0,114.0,14.5,47.0,1.11,184.96,38.0
2631,16,3,2007,38.0,39.0,53.0,40.0,113.0,116.0,14.7,55.0,0.91,150.64,49.0
2632,17,3,2007,49.0,38.0,56.0,41.0,98.0,113.0,13.5,72.0,0.96,185.56,41.0
2633,18,3,2007,41.0,49.0,72.0,43.0,111.0,98.0,17.0,47.0,1.06,125.8,38.0
2634,19,3,2007,38.0,41.0,73.0,39.0,114.0,111.0,16.8,42.0,2.6,114.13,53.0
2635,20,3,2007,53.0,38.0,82.0,63.0,80.0,114.0,17.8,40.0,3.09,204.56,37.0
2636,21,3,2007,37.0,53.0,60.0,47.0,83.0,80.0,15.4,48.0,1.01,132.45,33.0
2637,22,3,2007,33.0,37.0,54.0,38.0,90.0,83.0,12.8,57.0,1.17,219.4,33.0
2638,23,3,2007,33.0,33.0,50.0,37.0,87.0,90.0,12.3,63.0,0.86,180.23,32.0
2639,24,3,2007,32.0,33.0,54.0,35.0,92.0,87.0,14.5,50.0,1.0,134.49,35.0
2640,25,3,2007,35.0,32.0,56.0,41.0,90.0,92.0,14.7,52.0,1.5,130.48,36.0
2641,26,3,2007,36.0,35.0,60.0,46.0,105.0,90.0,11.8,69.0,1.22,161.99,38.0
2642,27,3,2007,38.0,36.0,54.0,41.0,94.0,105.0,10.0,70.0,1.28,143.58,42.0
2643,28,3,2007,42.0,38.0,67.0,54.0,93.0,94.0,11.2,42.0,0.98,139.39,33.0
2644,29,3,2007,33.0,42.0,53.0,39.0,112.0,93.0,11.2,57.0,0.82,144.54,30.0
2645,30,3,2007,30.0,33.0,41.0,36.0,113.0,112.0,11.6,65.0,1.05,135.8,35.0
2647,1,4,2007,36.0,35.0,50.0,51.0,68.0,87.0,12.9,70.0,1.15,152.82,33.0
2648,2,4,2007,33.0,36.0,54.0,45.0,95.0,68.0,14.4,54.0,1.0,154.53,37.0
2649,3,4,2007,37.0,33.0,59.0,47.0,109.0,95.0,14.9,49.0,1.14,133.33,35.0
2650,4,4,2007,35.0,37.0,58.0,48.0,118.0,109.0,13.7,61.0,1.26,197.9,46.0
2651,5,4,2007,46.0,35.0,71.0,68.0,100.0,118.0,14.3,62.0,0.97,175.51,42.0
2652,6,4,2007,42.0,46.0,68.0,61.0,98.0,100.0,15.7,55.0,0.91,156.47,40.0
2653,7,4,2007,40.0,42.0,71.0,52.0,104.0,98.0,17.6,47.0,1.14,222.79,40.0
2654,8,4,2007,40.0,40.0,76.0,60.0,96.0,104.0,19.2,29.0,1.41,159.68,54.0
2655,9,4,2007,54.0,40.0,84.0,76.0,87.0,96.0,18.5,34.0,1.0,157.59,38.0
2656,10,4,2007,38.0,54.0,65.0,46.0,122.0,87.0,18.2,43.0,1.72,217.22,38.0
2657,11,4,2007,38.0,38.0,70.0,58.0,121.0,122.0,19.5,39.0,1.25,148.35,40.0
2658,12,4,2007,40.0,38.0,63.0,46.0,98.0,121.0,17.8,47.0,0.97,162.06,36.0
2659,13,4,2007,36.0,40.0,50.0,41.0,116.0,98.0,17.7,46.0,0.96,149.3,42.0
2660,14,4,2007,42.0,36.0,61.0,49.0,114.0,116.0,17.8,55.0,1.34,187.3,47.0
2661,15,4,2007,47.0,42.0,72.0,64.0,102.0,114.0,19.0,48.0,1.45,77.19,36.0
2662,16,4,2007,36.0,47.0,58.0,49.0,107.0,102.0,13.9,55.0,1.44,164.53,37.0
2663,17,4,2007,37.0,36.0,55.0,48.0,94.0,107.0,13.5,54.0,1.17,168.96,47.0
2667,21,4,2007,52.0,46.0,67.0,59.0,93.0,95.0,17.7,55.0,1.31,148.52,52.0
2670,24,4,2007,45.0,48.0,72.0,58.0,111.0,96.0,17.8,43.0,1.32,171.81,42.0
2671,25,4,2007,42.0,45.0,61.0,52.0,115.0,111.0,16.4,61.0,0.78,186.51,48.0
2674,28,4,2007,40.0,41.0,57.0,44.0,106.0,105.0,18.1,46.0,1.08,162.38,42.0
2675,29,4,2007,42.0,40.0,75.0,51.0,106.0,106.0,19.8,49.0,1.02,229.33,48.0
2677,1,5,2007,80.0,48.0,97.0,87.0,55.0,112.0,20.1,57.0,1.24,175.94,45.0
2678,2,5,2007,45.0,80.0,75.0,64.0,105.0,55.0,20.1,56.0,1.5,180.23,44.0
2679,3,5,2007,44.0,45.0,64.0,56.0,90.0,105.0,18.1,65.0,0.76,169.87,32.0
2680,4,5,2007,32.0,44.0,40.0,29.0,109.0,90.0,18.2,62.0,0.68,167.85,41.0
2681,5,5,2007,41.0,32.0,59.0,45.0,100.0,109.0,19.4,59.0,0.86,214.04,42.0
2682,6,5,2007,42.0,41.0,63.0,49.0,98.0,100.0,22.0,49.0,0.86,152.33,43.0
2683,7,5,2007,43.0,42.0,78.0,62.0,114.0,98.0,22.1,48.0,1.46,177.37,44.0
2684,8,5,2007,44.0,43.0,80.0,71.0,113.0,114.0,24.5,34.0,1.49,273.36,43.0
