Day,Month,Year,o3_egnatia,o3_egnatia_yest,o3_eptapyrgiou,o3_lagkada,no2_egnatia,no2_egnatia_yest,temperature_egnatia,humidity_egnatia,WINDS_kord,WINDD_kord,Target
2557,1,1,2007,40,29,34,32,98,99,7.9,60,0.79,162.81,34
2558,2,1,2007,34,40,32,28,111,98,10.8,63,2.38,233.58,19
2559,3,1,2007,19,34,25,29,90,111,9.4,56,1.47,142.53,20
2560,4,1,2007,20,19,25,22,97,90,7.8,43,0.86,204.78,20
2561,5,1,2007,20,20,21,22,99,97,6.6,56,0.77,203.56,19
2562,6,1,2007,19,20,25,25,92,99,9.6,49,0.78,210.86,23
2563,7,1,2007,23,19,24,21,104,92,10.1,51,0.55,170.38,25
2564,8,1,2007,25,23,26,25,117,104,10,61,0.6,157.12,32
2565,9,1,2007,32,25,29,24,120,117,10.1,69,0.48,165.66,42
2566,10,1,2007,42,32,37,33,132,120,10.2,69,0.47,117.17,42
2567,11,1,2007,42,42,40,37,128,132,10.5,68,1.39,175.38,31
2568,12,1,2007,31,42,31,29,113,128,11.2,60,2.38,209.45,21
2569,13,1,2007,21,31,24,28,93,113,11.3,35,0.55,176.74,32
2570,14,1,2007,32,21,22,23,105,93,11.3,50,1.17,92.67,24
2571,15,1,2007,24,32,24,20,102,105,13.1,48,0.55,174.76,23
2572,16,1,2007,23,24,26,24,123,102,10.5,51,0.54,158.45,29
2573,17,1,2007,29,23,32,28,124,123,9.6,56,0.53,121.43,31
2574,18,1,2007,31,29,32,32,128,124,11.1,51,0.53,109.14,32
2575,19,1,2007,32,31,24,27,135,128,12.9,59,2.81,272.63,23
2576,20,1,2007,23,32,27,36,91,135,16.1,30,0.59,192.72,25
2577,21,1,2007,25,23,22,21,103,91,13.7,56,0.97,140.16,25
2578,22,1,2007,25,25,26,23,105,103,12.1,75,0.59,203.75,27
2579,23,1,2007,27,25,32,17,101,105,13.1,76,1.98,139.8,21
2580,24,1,2007,21,27,32,22,81,101,16.8,48,1.63,166.85,18
2581,25,1,2007,18,21,24,20,99,81,16.5,42,0.99,116.5,20
2582,26,1,2007,20,18,19,12,96,99,13.9,68,0.83,213.7,20
2583,27,1,2007,20,20,24,19,96,96,12.2,64,4.03,330.17,22
2584,28,1,2007,22,20,27,38,86,96,6.3,26,0.77,172.48,19
2585,29,1,2007,19,22,20,15,114,86,7.5,37,2.4,274.27,20
2586,30,1,2007,20,19,21,27,106,114,10.9,32,1.16,209.22,19
2587,31,1,2007,19,20,20,21,107,106,11.7,37,,,30
2588,1,2,2007,30,19,19,24,119,107,11.1,49,2.75,326.73,26
2589,2,2,2007,26,30,22,37,99,119,10.5,40,1.85,245.97,28
2590,3,2,2007,28,26,24,40,101,99,9,41,3.02,333.6,24
2591,4,2,2007,24,28,21,41,85,101,8.2,44,1.93,240.94,23
2592,5,2,2007,23,24,20,32,115,85,7.8,41,0.92,131.4,24
2593,6,2,2007,24,23,35,24,104,115,8.2,46,0.59,182.18,32
2594,7,2,2007,32,24,33,29,123,104,7.9,52,0.48,242.98,36
2595,8,2,2007,36,32,33,31,123,123,10.3,56,0.61,165.84,34
2596,9,2,2007,34,36,30,28,119,123,12.3,59,0.55,181.08,31
2597,10,2,2007,31,34,24,20,94,119,12.6,59,0.87,94.5,26
2598,11,2,2007,26,31,36,18,95,94,14,54,1.02,148.08,16
2599,12,2,2007,16,26,33,15,97,95,13.7,60,0.95,141.63,36
2600,13,2,2007,36,16,30,28,94,97,13.1,72,3.06,277.37,22
2601,14,2,2007,22,36,24,20,85,94,12,47,1.5,240.38,27
2602,15,2,2007,27,22,39,23,90,85,12.9,44,0.75,87.27,21
2603,16,2,2007,21,27,24,10,92,90,11.8,66,1.03,113.76,29
2604,17,2,2007,29,21,48,28,84,92,11.6,56,1.05,139.53,22
2605,18,2,2007,22,29,32,19,73,84,9.2,58,0.63,143.89,22
2606,19,2,2007,22,22,25,13,70,73,9.7,67,0.67,117.27,20
2607,20,2,2007,20,22,19,10,78,70,11.1,76,0.73,176.75,28
2608,21,2,2007,28,20,29,16,105,78,11.5,73,0.86,132.71,34
2609,22,2,2007,34,28,45,21,107,105,12.2,69,0.66,203.95,31
2610,23,2,2007,31,34,35,17,99,107,12.8,69,2.1,83.18,39
2611,24,2,2007,39,31,61,36,94,99,7.8,54,1.38,104.79,34
2612,25,2,2007,34,39,57,37,95,94,6.6,51,0.94,89.99,28
2613,26,2,2007,28,34,40,22,92,95,8.7,56,1.45,72.4,24
2614,27,2,2007,24,28,36,21,99,92,8.5,79,2.03,251.39,31
2615,28,2,2007,31,24,47,31,94,99,11.7,44,,,22
2616,1,3,2007,22,31,33,20,103,94,13.1,60,0.83,150.33,26
2617,2,3,2007,26,22,36,22,111,103,14.4,61,1.29,197.07,33
2618,3,3,2007,33,26,55,36,105,111,16.8,42,1.73,249.37,32
2619,4,3,2007,32,33,56,41,97,105,16.3,41,1.16,147.73,34
2620,5,3,2007,34,32,55,39,93,97,13.8,38,1.24,148.55,32
2621,6,3,2007,32,34,48,38,88,93,12.7,62,1.09,123.59,35
2622,7,3,2007,35,32,42,35,87,88,12.4,70,1.01,127.71,38
2623,8,3,2007,38,35,47,36,92,87,12.7,66,1.15,138.41,35
2624,9,3,2007,35,38,48,39,97,92,12.6,65,1.19,114.57,41
2625,10,3,2007,41,35,58,51,83,97,11.9,58,0.91,106.36,34
2626,11,3,2007,34,41,49,40,82,83,10.9,68,1.18,163.68,33
