Day,Month,Year,pm10_egnatia,pm10_egnatia_yest,pm10_lagkada,pm25_egnatia,no2_egnatia,so2_egnatia,temperature_egnatia,humidity_egnatia,WINDS_kord,Target
2557,1,1,2007,109,73,99,70,98,55,7.9,60,0.79,99
2558,2,1,2007,99,109,100,61,111,68,10.8,63,2.38,46
2559,3,1,2007,46,99,18,27,90,17,9.4,56,1.47,44
2560,4,1,2007,44,46,29,29,97,31,7.8,43,0.86,63
2561,5,1,2007,63,44,60,43,99,42,6.6,56,0.77,45
2562,6,1,2007,45,63,27,32,92,32,9.6,49,0.78,63
2563,7,1,2007,63,45,49,47,104,45,10.1,51,0.55,109
2564,8,1,2007,109,63,101,65,117,73,10,61,0.6,120
2565,9,1,2007,120,109,94,72,120,71,10.1,69,0.48,147
2566,10,1,2007,147,120,133,93,132,78,10.2,69,0.47,150
2567,11,1,2007,150,147,143,90,128,55,10.5,68,1.39,124
2568,12,1,2007,124,150,86,68,113,46,11.2,60,2.38,42
2569,13,1,2007,42,124,29,28,93,15,11.3,35,0.55,95
2570,14,1,2007,95,42,67,65,105,45,11.3,50,1.17,72
2571,15,1,2007,72,95,50,48,102,33,13.1,48,0.55,103
2572,16,1,2007,103,72,97,59,123,54,10.5,51,0.54,146
2573,17,1,2007,146,103,119,84,124,68,9.6,56,0.53,153
2574,18,1,2007,153,146,133,93,128,85,11.1,51,0.53,151
2575,19,1,2007,151,153,117,90,135,66,12.9,59,2.81,57
2576,20,1,2007,57,151,48,35,91,15,16.1,30,0.59,70
2577,21,1,2007,70,57,47,52,103,30,13.7,56,0.97,84
2578,22,1,2007,84,70,65,60,105,26,12.1,75,0.59,82
2579,23,1,2007,82,84,64,54,101,20,13.1,76,1.98,55
2580,24,1,2007,55,82,50,30,81,9,16.8,48,1.63,50
2581,25,1,2007,50,55,32,35,99,13,16.5,42,0.99,60
2582,26,1,2007,60,50,44,46,96,26,13.9,68,0.83,65
2583,27,1,2007,65,60,27,39,96,16,12.2,64,4.03,29
2584,28,1,2007,29,65,12,22,86,7,6.3,26,0.77,55
2585,29,1,2007,55,29,48,34,114,41,7.5,37,2.4,35
2586,30,1,2007,35,55,23,23,106,19,10.9,32,1.16,46
2587,31,1,2007,46,35,34,30,107,26,11.7,37,,74
2588,1,2,2007,74,46,61,45,119,41,11.1,49,2.75,40
2589,2,2,2007,40,74,23,24,99,18,10.5,40,1.85,51
2590,3,2,2007,51,40,18,28,101,20,9,41,3.02,45
2591,4,2,2007,45,51,18,26,85,15,8.2,44,1.93,46
2592,5,2,2007,46,45,18,27,115,28,7.8,41,0.92,56
2593,6,2,2007,56,46,58,40,104,36,8.2,46,0.59,151
2594,7,2,2007,151,56,155,88,123,78,7.9,52,0.48,130
2595,8,2,2007,130,151,115,87,123,62,10.3,56,0.61,120
2596,9,2,2007,120,130,104,72,119,22,12.3,59,0.55,92
2597,10,2,2007,92,120,75,58,94,29,12.6,59,0.87,66
2598,11,2,2007,66,92,55,43,95,22,14,54,1.02,69
2599,12,2,2007,69,66,38,39,97,22,13.7,60,0.95,84
2600,13,2,2007,84,69,64,50,94,31,13.1,72,3.06,40
2601,14,2,2007,40,84,49,23,85,12,12,47,1.5,47
2602,15,2,2007,47,40,26,30,90,29,12.9,44,0.75,68
2603,16,2,2007,68,47,50,44,92,64,11.8,66,1.03,43
2604,17,2,2007,43,68,27,25,84,9,11.6,56,1.05,32
2605,18,2,2007,32,43,19,23,73,17,9.2,58,0.63,42
2606,19,2,2007,42,32,33,31,70,26,9.7,67,0.67,71
2607,20,2,2007,71,42,63,47,78,39,11.1,76,0.73,90
2608,21,2,2007,90,71,77,58,105,37,11.5,73,0.86,76
2609,22,2,2007,76,90,59,49,107,31,12.2,69,0.66,98
2610,23,2,2007,98,76,78,59,99,40,12.8,69,2.1,47
2611,24,2,2007,47,98,26,26,94,13,7.8,54,1.38,40
2612,25,2,2007,40,47,26,26,95,15,6.6,51,0.94,54
2613,26,2,2007,54,40,34,34,92,27,8.7,56,1.45,37
2614,27,2,2007,37,54,17,27,99,19,8.5,79,2.03,58
2615,28,2,2007,58,37,29,35,94,22,11.7,44,,76
2616,1,3,2007,76,58,73,45,103,51,13.1,60,0.83,96
2617,2,3,2007,96,76,84,59,111,57,14.4,61,1.29,57
2618,3,3,2007,57,96,40,35,105,15,16.8,42,1.73,49
2619,4,3,2007,49,57,38,30,97,14,16.3,41,1.16,34
2620,5,3,2007,34,49,18,27,93,13,13.8,38,1.24,39
2621,6,3,2007,39,34,31,29,88,17,12.7,62,1.09,47
2622,7,3,2007,47,39,42,32,87,20,12.4,70,1.01,60
2623,8,3,2007,60,47,56,40,92,22,12.7,66,1.15,77
2624,9,3,2007,77,60,61,46,97,33,12.6,65,1.19,54
2625,10,3,2007,54,77,41,34,83,47,11.9,58,0.91,61
2626,11,3,2007,61,54,40,42,82,36,10.9,68,1.18,63
2627,12,3,2007,63,61,45,40,112,31,13.2,48,1,79
2628,13,3,2007,79,63,49,52,103,27,13,59,1.24,61
2629,14,3,2007,61,79,40,35,114,27,13.5,40,1.05,85
2630,15,3,2007,85,61,59,52,116,39,14.5,47,1.11,75
2631,16,3,2007,75,85,44,49,113,27,14.7,55,0.91,72
2632,17,3,2007,72,75,54,48,98,18,13.5,72,0.96,77
2633,18,3,2007,77,72,51,46,111,23,17,47,1.06,83
2634,19,3,2007,83,77,41,49,114,28,16.8,42,2.6,62
2635,20,3,2007,62,83,27,36,80,5,17.8,40,3.09,54
2636,21,3,2007,54,62,18,32,83,8,15.4,48,1.01,46
2637,22,3,2007,46,54,20,28,90,11,12.8,57,1.17,52
2638,23,3,2007,52,46,25,34,87,12,12.3,63,0.86,45
2639,24,3,2007,45,52,30,32,92,15,14.5,50,1,41
2640,25,3,2007,41,45,18,30,90,20,14.7,52,1.5,49
2641,26,3,2007,49,41,22,34,105,12,11.8,69,1.22,71
2642,27,3,2007,71,49,35,42,94,11,10,70,1.28,49
2643,28,3,2007,49,71,20,32,93,9,11.2,42,0.98,60
2644,29,3,2007,60,49,42,38,112,19,11.2,57,0.82,67
2645,30,3,2007,67,60,53,43,113,21,11.6,65,1.05,63
2646,31,3,2007,63,67,36,42,87,14,13.7,67,,34
2647,1,4,2007,34,63,23,23,68,13,12.9,70,1.15,51
2648,2,4,2007,51,34,44,28,95,26,14.4,54,1,62
2649,3,4,2007,62,51,55,38,109,22,14.9,49,1.14,66
2650,4,4,2007,66,62,59,42,118,18,13.7,61,1.26,59
2651,5,4,2007,59,66,24,33,100,13,14.3,62,0.97,59
2652,6,4,2007,59,59,38,38,98,17,15.7,55,0.91,56
2653,7,4,2007,56,59,41,36,104,15,17.6,47,1.14,42
2654,8,4,2007,42,56,23,23,96,8,19.2,29,1.41,42
2655,9,4,2007,42,42,26,27,87,7,18.5,34,1,76
2656,10,4,2007,76,42,63,47,122,25,18.2,43,1.72,78
